Cycle#,ChargeOhms,DischargeOhms,MaxV,MinV,MaxOCV,MinOCV,CoulombicEff,EnergyEff,ChargeCapacity(AHrs),DischargeCapacity(AHrs),ChargeEnergy(WHrs),DischargeEnergy(WHrs)
84,0.151829263393,0.132353761444,1.58403,1.16986,1.50845,1.2363,0.952378917477,0.825223410133,1.05000667018,1.00000421589,1.51404843265,1.2494282107
85,0.150603861823,0.131830496243,1.58159,1.17017,1.50662,1.2363,0.952385628173,0.825744555192,1.05000775904,1.00001229918,1.51345291478,1.24972550392
86,0.150623950373,0.132856372189,1.58068,1.16864,1.5057,1.23538,0.952390726837,0.825584050217,1.05000110524,1.0000113158,1.51303064975,1.24913397193
87,0.151719846233,0.132951385292,1.58311,1.16834,1.50753,1.23508,0.952382808341,0.825361451401,1.05000305056,1.00000485406,1.51323651926,1.24896708985
88,0.151226606883,0.132239268872,1.58464,1.16834,1.50936,1.23477,0.952381963506,0.825239352535,1.05000483285,1.0000056644,1.51346203999,1.24896843397
89,0.151829263393,0.131736216802,1.58677,1.16773,1.51119,1.23386,0.952378624364,0.824789784472,1.05001526777,1.00001209628,1.51390169886,1.24865065591
90,0.15439141037,0.132951385292,1.59012,1.16803,1.51332,1.23477,0.952370603343,0.824552866225,1.05001245385,1.0000009942,1.51458456635,1.24885504532
91,0.153054664963,0.131736216802,1.59043,1.16742,1.51424,1.23355,0.952370774784,0.824318907317,1.05001316619,1.00000185262,1.51453491122,1.24845976311
92,0.152672216433,0.131642072113,1.5886,1.16834,1.51271,1.23447,0.952393453329,0.824888763718,1.05000954385,1.0000222155,1.51444391298,1.2492477671
93,0.151226606883,0.131736216802,1.58647,1.16864,1.51119,1.23477,0.95237347239,0.825453321951,1.0500176976,1.00000900073,1.51345308209,1.24928487423
94,0.151829263393,0.131924910727,1.58708,1.16834,1.5115,1.23447,0.952374867038,0.825253397687,1.05001063683,1.00000374064,1.51352626699,1.24904269432
95,0.152672216433,0.131924910727,1.58708,1.16773,1.51119,1.23386,0.952389944414,0.825250074795,1.05000542729,1.00001461053,1.51339608376,1.24893023132
96,0.152431919903,0.132353761444,1.58829,1.16742,1.51241,1.23386,0.952372556728,0.825092274733,1.0500105986,1.00000127838,1.51348195532,1.24876226929
97,0.152562032981,0.132239268872,1.58799,1.16712,1.5121,1.23355,0.952377782305,0.825309822744,1.05001146024,1.0000075859,1.51326601186,1.24891330402
98,0.152652098866,0.132951385292,1.5889,1.16681,1.51302,1.23355,0.952376636115,0.825055152544,1.05000809826,1.00000318051,1.51340272909,1.24864071951
99,0.152541929933,0.131642072113,1.5889,1.16712,1.51302,1.23325,0.952384814985,0.825238646738,1.05000261162,1.00000654301,1.51324702875,1.24878993019
100,0.152541929933,0.131756137597,1.59012,1.16681,1.51424,1.23295,0.952381657085,0.824982121037,1.05001061436,1.00001084886,1.51343852037,1.24855972059
101,0.154994501816,0.131661978672,1.59439,1.16559,1.51729,1.23173,0.952386540532,0.824119836964,1.05000331647,1.00000902612,1.51435448387,1.24800957035
102,0.153879270457,0.132353761444,1.5953,1.16498,1.51881,1.23142,0.952391836543,0.823803480284,1.05000759084,1.00001865783,1.51461271389,1.24774322499
